Domain,Unique Identifier,Code,Description,Last Change Date
Result Measure Qualifier Deprecated(),131,LLBL,"low labeled compound recovery in sample, estimated value",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),135,LLRO,"low labeled compound recovery in the OPR (or LCS), estimated value",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),157,LLS,Value less than lower quality control standard.,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),158,LMSD,Matrix spike duplicate acceptance criteria not met – low,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),159,LMSR,"low matrix spike recovery, potential low bias",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),55,LMSRJ,"Low matrix spike recovery, potential low bias. Result is less than the MQL but greater than or equal to the MDL and the concentration is an approximate value.",1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),56,LMSRU,"low matrix spike recovery, potential low bias.  Result is less than the MDL.",1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),128,LNJQC,"Estimated value, greater than quantitation limit, presumptive evidence of nontarget compound, QC problems",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),160,LNRO,"low native analyte recovery in OPR (or LCS), potential low bias",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),256,LOB,Likely Biased Low,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),161,LOPR,"low OPR (or LCS) recovery, potential low bias",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),401,LSRM,"Likely Biased Low. Lab Reference, failed.",2/19/2021 12:00:00 AM
Result Measure Qualifier Deprecated(),162,LSSR,Surrogate standard acceptance criteria not met – low,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),3,LTL,"Operating Range, less than",1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),163,LVER,"low calibration verification standard recovery, potential low bias",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),254,LXB,"Estimated Value, between 5-10x blank",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),164,M6F,More Than 6 Flags Applied,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),261,MI,Matrix Interference,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),165,MSR,Matrix spike acceptance criteria not met,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),76,MTHD2,2nd method (USGS),1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),138,MTRX,"possible matrix interference, estimated value",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),57,MTX,Matrix Interference.,1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),166,N,Presumptive evidence of a nontarget compound,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),70,NA,Not Applicable,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),168,NAI,"No Result Reported, interference",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),218,NB,Presumptive evidence of non-target compound; detected in blank,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),216,NBJQC,"Estimated value, presumptive evidence of nontarget compound, compound also detected in LRB, QC problems",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),58,NFNSI,"While comparison of nutrient fractions (e.g. filtered > unfiltered) or nutrient species (e.g. PO4 > TP) results are not consistent, the results are within precision limits and are analytically equal.",1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),59,NFNSU,Comparison of nutrient fractions (e.g. filtered > unfiltered) or nutrient species (e.g. PO4 > TP) are not consistent. Results fall outside the normal limits of variability and do not meet Data Quality Objectives. Reanalyses were performed with consistent results. All QA limits and results were valid,1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),257,NHS,Non-homogenous sample,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),139,NJ,"Estimated value, presumptive evidence of nontarget compound",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),106,NJHT,"Estimated value, presumptive evidence of nontarget compound, holding time exceeded",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),140,NJQC,"Estimated value, presumptive evidence of nontarget compound, QC problems",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),152,NL,"Estimated value, presumptive evidence of nontarget compound, greater than quantitation limit",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),169,NLBL,"no labeled compound recovery in sample, rejected",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),170,NLRO,"no labeled compound recovery in OPR (or LCS), rejected",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),60,NMSR,"no matrix spike recovery, rejected",1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),171,NN,authentic recovery is not within method/contract control limits,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),172,NRO,Control sample acceptance criteria not met,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),71,NRP,No Result Possible,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),173,NRR,"No Result Reported, other",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),5,NRS,Non Representative Sample,1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),174,NSQ,"No Result Reported, insufficient quantity of sample",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),4,NWL,"Operating Range, not within",1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),288,OA3,"Outlier, across stations",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),175,OS3,"Outlier, single station",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),61,OTH,Other,1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),285,OTHER,Other,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),176,OUT,Result value is defined as an outlier by data owner,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),62,PBH,"Estimated value, continuous probe biased high Quality control measures failed high at audit check during deployment. Could include pre, mid or post deployment check.",1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),63,PBL,"Estimated value, continuous probe biased low Quality control measures failed low at audit check during deployment. Could include pre, mid or post deployment check.",1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),414,PKB,Peak deteced but did not meet quantification criteria (result reported represents the estimated maximum possible concentration) and analyte found in sample and associated blank,5/21/2021 12:00:00 AM
Result Measure Qualifier Deprecated(),413,PKBJ,"Peak deteced but did not meet quantification criteria (result reported represents the estimated maximum possible concentration), analyte found in sample and associated blank and the reported result is an estimate",5/21/2021 12:00:00 AM
Result Measure Qualifier Deprecated(),415,PKJG,"Peak detected but did not meet quantification criteria, the reporterd result is an estimate (the value is less than the minimum calibration level but greater than the estimated detection limit) and lock mass interference present",5/21/2021 10:04:35 PM
Result Measure Qualifier Deprecated(),177,PNQ,No Quantifiable Result Reported,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),178,PPD,"Spiked Blank Duplicate, failed",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),179,PRE,Presumptive evidence that analyte is present.,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),180,Q,The result did not pass the lab quality checks and there was an insufficient amount of the sample for re-analysis.,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),260,QC,QC problems,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),182,QCI,Quality Control incomplete,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),183,R,Rejected: The sample results are unusable due to the quality of the data generated because certain criteria were not met. The analyte may or may not be present in the sample. ,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),406,REJ,"Estimated, Rejected",6/22/2023 2:33:53 PM
Result Measure Qualifier Deprecated(),258,REX,Re-Prepared,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),133,RHT,Sample received hot,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),184,RIN,Re-Analyzed,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),185,RLRS,"Reporting limit raised, low total solids",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),186,RMAX,result is a maximum value,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),187,RNAF,result not affected by noted QC issue,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),188,RNON,result reported as non-detect due to blank contamination,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),289,RPDX,"RPD is MS/MSD pair exceeds criterion, estimated value",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),189,RPO,% RPD outside of acceptable limits,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),167,RPON,% RPD outside of acceptable limits.  Presumptive evidence of a nontarget compound.,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),64,RRUDL,"Lab reported a result value, however the lab's detection limit is not known/available for validation or comparison to the result.",1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),294,RRUDQ,"Lab reported a result value, but lab's detection limit not known/available for comparison to the result; however with parameter specific evaluation determined to be quantified.",1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),65,RSM,"Value verified by rerun, same method (USGS)",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),190,SBB,"Estimated Value, less than blank",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),191,SCA,"Suspected Contamination, lab analysis",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),192,SCF,"Suspected Contamination, field",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),193,SCP,"Suspected Contamination, lab preparation",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),194,SCX,"Suspected Contamination, unknown",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),72,SD%EL,MS/MSD RPD exceeds control limits,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),295,SD%SS,MS/MSD RPD exceeds control limits due to sample size difference. (TestAmerica Laboratory with a qualifier code of 'F4'),1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),73,SDROL,MS and/or MSD Recovery is outside acceptance limits,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),195,SLB,Spike level low compared to background,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),75,SM,same method (USGS),1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),196,SSR,Surrogate standard acceptance criteria not met,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),197,SUS,Result value is defined as suspect by data owner,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),198,T,Hardness by Calculation Method - Standard Methods 2340B - 19th Ed ,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),296,TMLF,Time missing in logger file.,1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),259,TOC,Temperature outside of criteria,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),199,TT,analyte recalculated against alternate labelled compound(s,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),262,U,"Not Detected: The analyte was analyzed for, but was not detected at a level greater than or equal to the level of the adjusted Contract Required Quantitation Limit (CRQL) for sample and method. ",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),220,UB,"The analyte was detected in the
 sample and in either the associated
 laboratory blank or field blank. If
 detected below the reporting limit
 (RL) the analyte result was reported
 as non-detected. If detected
 above the RL, the analyte result was
 reported as non-detected.",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),297,UD,U D; Not Detected.  Dilution required.,1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),111,UH,"Not Detected: The analyte was analyzed for, but was not detected at a level greater than or equal to the level of the adjusted Contract Required Quantitation Limit (CRQL) for sample and method. Holding time exceeded.",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),144,UJ,Not Detected/Estimated: The analyte was not detected at a level greater than or equal to the adjusted CRQL or the reported adjusted CRQL is approximate and may be inaccurate or imprecise. ,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),835,UJ-1Z,Result is ≤ the MDL or client requested reporting limit (CRRL). Result reported as the MDL or CRRL. Estimated. A full explanation is presented in the narrative. Holding time and/or preservation requirements not established for this method;BAL recommendations for holding time were not followed.,9/28/2023 2:44:07 PM
Result Measure Qualifier Deprecated(),407,UJL,Not Detected. Estimated: The analyte was positively identified and the associated numerical value is the approximate concentration of the analyte in the sample.  Lowest available reporting limit for the analytical method used.,6/22/2023 2:33:46 PM
Result Measure Qualifier Deprecated(),263,UNC,Value Not Confirmed,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),181,UQ,"Not Detected: The analyte was not detected at a level >= to the Reporting Level for the analysis. Also, the result did not pass the lab quality checks and there was an insufficient amount of the sample for re-analysis.",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),298,UREJ,Value below the detection Limit. Rejected: The sample results are unusable due to the quality of the data generated because certain criteria were not met. The analyte may or may not be present in the sample,1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),1005,UZZ,Not Detected: These data were qualified as blank-corrected and as undetected when the blank correction resulted in a concentration below the DL.,9/7/2023 9:54:21 AM
Result Measure Qualifier Deprecated(),299,V,Surrogate recoveries out of range,1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),265,VVRR,Value verified by rerun,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),74,Z,"Value verified by rerun, 2nd method (USGS)",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),78,^,Yield outside of contractual acceptable range (USGS),1/14/2020 9:44:49 AM

